"SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","Product Family","serviceCode","Location","Location Type","Tenancy","usageType","operation","CapabilityType","CPUType","EKSCapabilityUnits","EKSProductType","InstanceType","MemoryType","Region Code","serviceName","StorageType","TierType"
"RNGKKZ2JDCZWB658","JRTCKXETXF","RNGKKZ2JDCZWB658.JRTCKXETXF.Z7MKTGF6VF","OnDemand","USD0.02 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Melbourne)","2026-08-01","0","576000","vCPU-Hours","0.0200000000","USD","Compute","AmazonEKS","Asia Pacific (Melbourne)","AWS Region",,"APS6-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-4","Amazon Elastic Container Service for Kubernetes",,
"RNGKKZ2JDCZWB658","JRTCKXETXF","RNGKKZ2JDCZWB658.JRTCKXETXF.TYETGNHRPH","OnDemand","USD0.014 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Melbourne)","2026-08-01","576000","1152000","vCPU-Hours","0.0140000000","USD","Compute","AmazonEKS","Asia Pacific (Melbourne)","AWS Region",,"APS6-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-4","Amazon Elastic Container Service for Kubernetes",,
"RNGKKZ2JDCZWB658","JRTCKXETXF","RNGKKZ2JDCZWB658.JRTCKXETXF.598JQR6V47","OnDemand","USD0.01 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Melbourne)","2026-08-01","1152000","5760000","vCPU-Hours","0.0100000000","USD","Compute","AmazonEKS","Asia Pacific (Melbourne)","AWS Region",,"APS6-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-4","Amazon Elastic Container Service for Kubernetes",,
"RNGKKZ2JDCZWB658","JRTCKXETXF","RNGKKZ2JDCZWB658.JRTCKXETXF.E6QA4N6S8T","OnDemand","USD0.008 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Melbourne)","2026-08-01","5760000","11520000","vCPU-Hours","0.0080000000","USD","Compute","AmazonEKS","Asia Pacific (Melbourne)","AWS Region",,"APS6-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-4","Amazon Elastic Container Service for Kubernetes",,
"RNGKKZ2JDCZWB658","JRTCKXETXF","RNGKKZ2JDCZWB658.JRTCKXETXF.QJE85AF653","OnDemand","USD0.006 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Melbourne)","2026-08-01","11520000","Inf","vCPU-Hours","0.0060000000","USD","Compute","AmazonEKS","Asia Pacific (Melbourne)","AWS Region",,"APS6-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-4","Amazon Elastic Container Service for Kubernetes",,
"RNKSBNB8CJ6XGJFM","JRTCKXETXF","RNKSBNB8CJ6XGJFM.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.28794 per hour for EKS Auto Mode management of m8g.12xlarge in Europe (Spain)","2026-08-01","0","Inf","hours","0.2879400000","USD","Compute","AmazonEKS","Europe (Spain)","AWS Region",,"EUS2-EKS-Auto:m8g.12xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","m8g.12xlarge",,"eu-south-2","Amazon Elastic Container Service for Kubernetes",,
"RNMU7NAHKY66R72V","JRTCKXETXF","RNMU7NAHKY66R72V.JRTCKXETXF.Z7MKTGF6VF","OnDemand","USD0.02 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Malaysia)","2026-08-01","0","576000","vCPU-Hours","0.0200000000","USD","Compute","AmazonEKS","Asia Pacific (Malaysia)","AWS Region",,"APS7-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-5","Amazon Elastic Container Service for Kubernetes",,
"RNMU7NAHKY66R72V","JRTCKXETXF","RNMU7NAHKY66R72V.JRTCKXETXF.TYETGNHRPH","OnDemand","USD0.014 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Malaysia)","2026-08-01","576000","1152000","vCPU-Hours","0.0140000000","USD","Compute","AmazonEKS","Asia Pacific (Malaysia)","AWS Region",,"APS7-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-5","Amazon Elastic Container Service for Kubernetes",,
"RNMU7NAHKY66R72V","JRTCKXETXF","RNMU7NAHKY66R72V.JRTCKXETXF.598JQR6V47","OnDemand","USD0.01 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Malaysia)","2026-08-01","1152000","5760000","vCPU-Hours","0.0100000000","USD","Compute","AmazonEKS","Asia Pacific (Malaysia)","AWS Region",,"APS7-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-5","Amazon Elastic Container Service for Kubernetes",,
"RNMU7NAHKY66R72V","JRTCKXETXF","RNMU7NAHKY66R72V.JRTCKXETXF.E6QA4N6S8T","OnDemand","USD0.008 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Malaysia)","2026-08-01","5760000","11520000","vCPU-Hours","0.0080000000","USD","Compute","AmazonEKS","Asia Pacific (Malaysia)","AWS Region",,"APS7-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-5","Amazon Elastic Container Service for Kubernetes",,
"RNMU7NAHKY66R72V","JRTCKXETXF","RNMU7NAHKY66R72V.JRTCKXETXF.QJE85AF653","OnDemand","USD0.006 per vCPU-Hour for Amazon EKS Hybrid Nodes usage in Asia Pacific (Malaysia)","2026-08-01","11520000","Inf","vCPU-Hours","0.0060000000","USD","Compute","AmazonEKS","Asia Pacific (Malaysia)","AWS Region",,"APS7-AmazonEKSHybridNodes-Hours:pervCPU","HybridNodesUsage",,,,"HybridNodes",,,"ap-southeast-5","Amazon Elastic Container Service for Kubernetes",,
"RNNWJ27YPZ7SG697","JRTCKXETXF","RNNWJ27YPZ7SG697.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.35021 per hour for EKS Auto Mode management of c6g.16xlarge in Africa (Cape Town)","2026-08-01","0","Inf","hours","0.3502100000","USD","Compute","AmazonEKS","Africa (Cape Town)","AWS Region",,"AFS1-EKS-Auto:c6g.16xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","c6g.16xlarge",,"af-south-1","Amazon Elastic Container Service for Kubernetes",,
"RNQQ53TUJC3NWGH4","JRTCKXETXF","RNQQ53TUJC3NWGH4.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.11904 per hour for EKS Auto Mode management of m5.4xlarge in Asia Pacific (Tokyo)","2026-08-01","0","Inf","hours","0.1190400000","USD","Compute","AmazonEKS","Asia Pacific (Tokyo)","AWS Region",,"APN1-EKS-Auto:m5.4xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","m5.4xlarge",,"ap-northeast-1","Amazon Elastic Container Service for Kubernetes",,
"RNRWDVJYHF9EM7A6","JRTCKXETXF","RNRWDVJYHF9EM7A6.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.06238 per hour for EKS Auto Mode management of i7ie.xlarge in US East (Ohio)","2026-08-01","0","Inf","hours","0.0623800000","USD","Compute","AmazonEKS","US East (Ohio)","AWS Region",,"USE2-EKS-Auto:i7ie.xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","i7ie.xlarge",,"us-east-2","Amazon Elastic Container Service for Kubernetes",,
"RNTYENUKDZZD5J32","JRTCKXETXF","RNTYENUKDZZD5J32.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.19354 per hour for EKS Auto Mode management of r6g.8xlarge in US East (N. Virginia)","2026-08-01","0","Inf","hours","0.1935400000","USD","Compute","AmazonEKS","US East (N. Virginia)","AWS Region",,"EKS-Auto:r6g.8xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r6g.8xlarge",,"us-east-1","Amazon Elastic Container Service for Kubernetes",,
"RNXGENRYP7T9ZXWJ","JRTCKXETXF","RNXGENRYP7T9ZXWJ.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.04443 per hour for EKS Auto Mode management of i4g.xlarge in Asia Pacific (Singapore)","2026-08-01","0","Inf","hours","0.0444300000","USD","Compute","AmazonEKS","Asia Pacific (Singapore)","AWS Region",,"APS1-EKS-Auto:i4g.xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","i4g.xlarge",,"ap-southeast-1","Amazon Elastic Container Service for Kubernetes",,
"RP28RJFAQ8JGZ3JB","JRTCKXETXF","RP28RJFAQ8JGZ3JB.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.36145 per hour for EKS Auto Mode management of r7g.12xlarge in EU (Milan)","2026-08-01","0","Inf","hours","0.3614500000","USD","Compute","AmazonEKS","EU (Milan)","AWS Region",,"EUS1-EKS-Auto:r7g.12xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","r7g.12xlarge",,"eu-south-1","Amazon Elastic Container Service for Kubernetes",,
"RP2TGT6AGP8URTV7","JRTCKXETXF","RP2TGT6AGP8URTV7.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.0269 per hour for EKS Auto Mode management of m8i-flex.xlarge in Canada (Central)","2026-08-01","0","Inf","hours","0.0269000000","USD","Compute","AmazonEKS","Canada (Central)","AWS Region",,"CAN1-EKS-Auto:m8i-flex.xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","m8i-flex.xlarge",,"ca-central-1","Amazon Elastic Container Service for Kubernetes",,
"RP59SQCZRHFHQKVE","JRTCKXETXF","RP59SQCZRHFHQKVE.JRTCKXETXF.6YS6EN2CT7","OnDemand","$0.86016 per hour for EKS Auto Mode management of m6i.32xlarge in US West (N. California)","2026-08-01","0","Inf","hours","0.8601600000","USD","Compute","AmazonEKS","US West (N. California)","AWS Region",,"USW1-EKS-Auto:m6i.32xlarge-management-hours","EKSAutoUsage",,,,"AutoMode","m6i.32xlarge",,"us-west-1","Amazon Elastic Container Service for Kubernetes",,
